Designator,Val,Package,MidX,MidY,Rotation,Layer
"D27","B16WS_C7420327","SOD-323_L1.7-W1.3-LS2.5-FD",147.200000,-79.800000,180.000000,bottom
"R4","500","R_0402_1005Metric",132.600000,-94.000000,0.000000,bottom
"R5","100k","R_0805_2012Metric",120.400000,-60.687500,-90.000000,bottom
"R7","100k","R_0805_2012Metric",120.400000,-64.100000,-90.000000,bottom
"R13","5.1k","R_0402_1005Metric",174.950000,-137.850000,-90.000000,bottom
"R14","5.1k","R_0402_1005Metric",174.950000,-133.840000,90.000000,bottom
"R17","10k","R_0402_1005Metric",86.590000,-89.850000,0.000000,bottom
"R18","10k","R_0402_1005Metric",86.600000,-91.250000,0.000000,bottom
"R20","0.5m","R_2512_6332Metric",170.837500,-78.400000,0.000000,bottom
"R21","4.3","R_0603_1608Metric",113.600000,-83.400000,180.000000,bottom
"R22","4.3","R_0603_1608Metric",107.900000,-96.200000,180.000000,bottom
"R24","100k","R_0805_2012Metric",165.475000,-81.975000,0.000000,bottom
"R25","4.125k","R_0402_1005Metric",168.150000,-84.350000,0.000000,bottom
"R26","100k","R_0805_2012Metric",94.502500,-73.650000,180.000000,bottom
"R27","4.125k","R_0402_1005Metric",94.390000,-72.000000,0.000000,bottom
"R28","0.5m","R_2512_6332Metric",88.662500,-84.200000,180.000000,bottom
"R29","10k","R_0402_1005Metric",174.560000,-95.950000,0.000000,bottom
"R30","500","R_0402_1005Metric",136.700000,-64.090001,-90.000000,bottom
"R31","4.3","R_0603_1608Metric",152.125000,-89.800000,0.000000,bottom
"R32","4.3","R_0603_1608Metric",151.925000,-70.650000,0.000000,bottom
"R33","4.3","R_0603_1608Metric",146.275000,-89.500000,0.000000,bottom
"R34","10k","R_0402_1005Metric",176.000000,-96.510000,90.000000,bottom
"R35","10k","R_0402_1005Metric",175.740000,-98.150000,0.000000,bottom
"R38","4.3","R_0603_1608Metric",147.250000,-81.900000,0.000000,bottom
"R39","4.3","R_0603_1608Metric",112.500000,-75.500000,180.000000,bottom
"R40","4.3","R_0603_1608Metric",107.925000,-76.900000,180.000000,bottom
"R45","500","R_0402_1005Metric",110.100000,-97.809999,90.000000,bottom
"R46","500","R_0402_1005Metric",115.900000,-79.000000,180.000000,bottom
"U8","TP181A1-CR","SC70-6_L2.1-W1.3-P0.65-LS2.3-BL",88.450000,-79.650000,0.000000,bottom
"U11","UCC27211DR","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",115.388089,-95.860589,180.000000,bottom
"U12","ADS1015IDGSR","VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL",172.500000,-91.600000,180.000000,bottom
"U13","UCC27211DR","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",120.000000,-73.000000,-90.000000,bottom
"U15","TP181A1-CR","SC70-6_L2.1-W1.3-P0.65-LS2.3-BL",170.950000,-83.050000,180.000000,bottom
"U16","UCC27211DR","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",136.000000,-99.800000,180.000000,bottom
"U17","UCC27211DR","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",133.230000,-73.000000,90.000000,bottom
"U18","INA240A2D","SOIC-8_3.9x4.9mm_P1.27mm",142.725000,-94.705000,180.000000,bottom
"U20","ADS1015IDGSR","VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL",88.900000,-67.700000,180.000000,bottom
"U21","INA240A2D","SOIC-8_3.9x4.9mm_P1.27mm",142.525000,-66.905000,0.000000,bottom
